USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.8  0.0  22232 13332 ?        Ss   22:45   0:01 /sbin/init
root         105  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/13]
root         106  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/13]
root         107  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/13]
root         108  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/13:0-cgroup_destroy]
root         109  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/13:0H-events_highpri]
root         110  0.0  0.0      0     0 ?        S    22:45   0:00 [cpuhp/15]
root         111  0.0  0.0      0     0 ?        S    22:45   0:00 [idle_inject/15]
root         112  0.2  0.0      0     0 ?        S    22:45   0:00 [migration/15]
root         113  0.0  0.0      0     0 ?        S    22:45   0:00 [ksoftirqd/15]
root         114  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/15:0-mm_percpu_wq]
root         115  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/15:0H-events_highpri]
root         116  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u65:0-flush-259:0]
root         117  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u66:0-events_unbound]
root         118  0.0  0.0      0     0 ?        S    22:45   0:00 [kdevtmpfs]
root         119  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-inet_frag_wq]
root         120  0.0  0.0      0     0 ?        S    22:45   0:00 [kauditd]
root         121  0.0  0.0      0     0 ?        S    22:45   0:00 [khungtaskd]
root         122  0.0  0.0      0     0 ?        S    22:45   0:00 [oom_reaper]
root         123  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u66:1-events_unbound]
root         124  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u66:2-events_unbound]
root         125  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-writeback]
root         126  0.0  0.0      0     0 ?        S    22:45   0:00 [kcompactd0]
root         127  0.0  0.0      0     0 ?        SN   22:45   0:00 [ksmd]
root         128  0.0  0.0      0     0 ?        SN   22:45   0:00 [khugepaged]
root         129  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-kintegrityd]
root         130  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-kblockd]
root         131  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-blkcg_punt_bio]
root         132  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/14:1-mm_percpu_wq]
root         133  0.0  0.0      0     0 ?        S    22:45   0:00 [irq/9-acpi]
root         134  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/8:1-events]
root         135  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/1:1-events]
root         136  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u65:1-events_unbound]
root         137  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/10:1-events]
root         138  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-tpm_dev_wq]
root         139  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-ata_sff]
root         140  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-edac-poller]
root         141  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-devfreq_wq]
root         142  0.0  0.0      0     0 ?        S    22:45   0:00 [watchdogd]
root         143  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/14:1H-kblockd]
root         144  0.0  0.0      0     0 ?        S    22:45   0:00 [irq/25-AMD-Vi0-Evt]
root         145  0.0  0.0      0     0 ?        S    22:45   0:00 [irq/26-AMD-Vi0-PPR]
root         146  0.0  0.0      0     0 ?        S    22:45   0:00 [irq/27-AMD-Vi0-GA]
root         147  0.8  0.0      0     0 ?        S    22:45   0:01 [kswapd0]
root         148  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-kthrotld]
root         149  0.0  0.0      0     0 ?        S    22:45   0:00 [irq/30-pciehp]
root         150  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/2:1-mm_percpu_wq]
root         151  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/4:1-events]
root         152  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-acpi_thermal_pm]
root         153  0.2  0.0      0     0 ?        S    22:45   0:00 [hwrng]
root         154  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-mld]
root         155  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-ipv6_addrconf]
root         157  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/2:1H-kblockd]
root         163  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-kstrp]
root         167  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/3:1-events]
root         168  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/11:1-events]
root         169  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/5:1-events]
root         170  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/12:1-events]
root         171  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-zswap-shrink]
